,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
bxpc3+TNFA_MAPK14,0.13244559,0.68,0.21793146,0.34633630214556776,0.6,2,23,4,bxpc3+TNFA
bxpc3+TNFA_NKX3-1,0.54617774,0.0,0.24435435,0.11759960191470982,1.0,1,0,4,bxpc3+TNFA
bxpc3+TNFA_SOX9,0.19015703,0.8,0.25747046,0.6264041776187718,0.68,0,25,4,bxpc3+TNFA
hap1+INS_CHUK,0.08825521,0.8571428571428571,0.080176644,0.0521714807933144,0.8571428571428571,1,6,4,hap1+INS
hap1+INS_IKBKB,0.03614495,0.88,0.057525374,0.43219806633171737,0.52,0,25,4,hap1+INS
ht29+IFNB_BATF2,0.001983277,1.0,0.059467863,2.1048719682586277,0.0,0,1,4,ht29+IFNB
ht29+IFNB_DTX3L,1.9684782,0.0,1.4084507,0.18750792743945127,1.0,0,1,4,ht29+IFNB
ht29+IFNB_IRF1,0.18363383,0.5,0.058522366,0.5408550753489167,0.5,0,4,4,ht29+IFNB
ht29+IFNB_MAPK14,0.16252142,0.68,0.18755956,0.7587890855296072,0.56,1,24,4,ht29+IFNB
ht29+IFNB_SP110,0.067071564,0.64,0.07530878,0.2303475449413154,0.68,0,25,4,ht29+IFNB
k562+TGFB_CHUK,0.40863177,1.0,0.80083066,1.1357837321366473,0.6666666666666666,0,6,4,k562+TGFB
k562+TGFB_IKBKB,0.6575517,0.88,1.1294993,1.7965390636207652,0.64,0,25,4,k562+TGFB
k562+TGFB_MAPK14,0.18459222,1.0,0.6456107,0.6460953192982413,0.7692307692307693,0,13,4,k562+TGFB
k562+TGFB_SKP1,0.48427093,0.92,1.1620907,2.9940584439788314,0.52,0,25,4,k562+TGFB
k562+TGFB_SMURF1,1.5123984,1.0,1.9439545,0.45826782941298244,1.0,0,1,4,k562+TGFB
bxpc3+TGFB_CUL1,0.05215322,1.0,0.21444492,0.1488772911143481,0.6666666666666666,0,3,5,bxpc3+TGFB
bxpc3+TGFB_MAPK1,0.43486792,0.8125,0.6271323,0.5261710326009369,0.875,2,14,5,bxpc3+TGFB
bxpc3+TGFB_PIK3CA,1.4970438,0.0,1.4735019,1.307412987723205,1.0,1,0,5,bxpc3+TGFB
bxpc3+TGFB_RELA,0.007856221,1.0,0.8946701,0.9972322164618359,1.0,0,1,5,bxpc3+TGFB
bxpc3+TGFB_SMAD7,0.19191895,0.8571428571428571,0.2821199,0.7067669405284859,0.5,0,14,5,bxpc3+TGFB
bxpc3+TGFB_TGFBR3,1.812835,0.5,1.1122802,0.20550576054463113,1.0,0,2,5,bxpc3+TGFB
hap1+IFNG_BATF2,0.498453,0.5,0.34853336,0.17082204378112018,1.0,0,2,5,hap1+IFNG
hap1+IFNG_CUL1,0.99031657,0.84,1.3497123,1.3954398971344144,0.64,0,25,5,hap1+IFNG
hap1+IFNG_FMNL2,0.08367294,1.0,1.0653362,3.664333831905054,0.5,0,2,5,hap1+IFNG
hap1+IFNG_PIK3CA,0.19168457,0.92,0.5085284,2.693436087146231,0.24,0,25,5,hap1+IFNG
hap1+IFNG_PLEK,0.569774,0.5,0.6611618,5.3669306386171725,0.0,0,2,5,hap1+IFNG
hap1+IFNG_SOX2,1.2106321,0.88,2.7157629,1.9502428751131915,0.72,0,25,5,hap1+IFNG
hap1+IFNG_STAT1,0.5162792,0.96,1.364089,1.0757407089926303,0.76,12,13,5,hap1+IFNG
hap1+IFNG_ZNF267,0.31149092,0.6,0.372471,1.4552655491079016,0.44,0,25,5,hap1+IFNG
ht29+TNFA_PIK3CA,0.02001041,0.68,0.023276286,0.34918290965351984,0.32,1,24,5,ht29+TNFA
ht29+TNFA_ZNF267,0.04758349,0.68,0.028763225,0.2205784057322728,0.56,1,24,5,ht29+TNFA
k562+INS_DR1,0.07488764,0.88,0.30746555,1.002907837766814,0.6,0,25,5,k562+INS
k562+INS_MAPK1,0.47089794,0.56,0.43873516,1.078147300721757,0.64,9,16,5,k562+INS
k562+INS_PIK3CA,0.025254736,0.9,0.08232494,0.07828840614101515,0.9,2,8,5,k562+INS
k562+INS_TTF2,0.13603382,1.0,0.37241885,1.835948137547038,0.6,0,25,5,k562+INS
k562+TGFB_CUL1,2.3322363,0.84,3.2609038,1.717013683329106,0.72,0,25,5,k562+TGFB
k562+TGFB_MAPK1,0.5283143,0.96,1.176784,1.757792298085559,0.68,0,25,5,k562+TGFB
k562+TGFB_TGFBR3,0.7368717,0.5,1.1966623,0.7813587677605917,1.0,0,2,5,k562+TGFB
mcf7+IFNB_BATF2,0.0080298195,0.9090909090909091,0.01725237,0.22924597564865676,0.36363636363636365,0,11,5,mcf7+IFNB
mcf7+IFNB_ID3,0.07945221,0.96,0.11124028,0.5705735086088098,0.36,0,25,5,mcf7+IFNB
mcf7+IFNB_IFNAR1,0.2151244,0.72,0.26150268,1.0401563088344974,0.36,6,19,5,mcf7+IFNB
mcf7+IFNB_MAP3K14,0.05483234,0.8,0.08478382,0.6393880490282505,0.6,0,25,5,mcf7+IFNB
