,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNG_IRF2,0.38821727,0.36930212,1.0512186,0.85275525,-0.010394032,0.7602326086395952,0.13884209945999518,0.8853097931341738,0.8929943081466081,0.9913946651817038,2391,1700,1.1812175512313843,1.3958665132522583,0.8462253212928772,0.5342690348625183,0.2219661921262741,0.6432006274010599,0.25,0.8109158377179154,0.8300694538051089,0.9769252849874289,16.0,9.0,a549+IFNG_IRF2,a549+IFNG,IRF2,False,True,0
a549+IFNG_IRF5,0.39968458,0.37111032,1.0769967,0.86873674,-0.0080416305,0.7891788482384191,0.08023940302525495,0.900140330970448,0.9069834421942286,0.9924550869338636,2306,1825,,,,,,,,,,,,,a549+IFNG_IRF5,a549+IFNG,IRF5,False,True,0
a549+IFNG_IRF7,0.39475957,0.3738905,1.055816,0.8669143,-0.014145088,0.7990026048394789,0.07194876271465972,0.898523955159813,0.9040613357526408,0.9938749945674672,2248,1872,0.16663436591625214,0.09082342684268951,1.8347069025039673,,,,,,,,0.0,1.0,a549+IFNG_IRF7,a549+IFNG,IRF7,False,True,0
a549+IFNG_IRF9,0.3720582,0.36943278,1.0071067,0.8514861,0.08778264,0.7565406723084079,0.19832533290411214,0.8835347861672496,0.8885151719381729,0.9943947093665725,2463,1622,0.9237968325614929,1.2693698406219482,0.7277601957321167,-0.0017168670892715454,0.5282471776008606,0.04385458823189045,0.536923076923077,0.6040279028610898,0.594987673042153,1.0151939783436426,18.0,7.0,a549+IFNG_IRF9,a549+IFNG,IRF9,False,True,0
a549+IFNG_JAK1,0.39417392,0.35661772,1.1053122,0.8715592,-0.1230469,0.8131748157543144,-0.028286409274203318,0.9031834182586091,0.9129703519063967,0.9892801188698502,2105,2050,0.23372584581375122,0.22738897800445557,1.0278679132461548,0.36472657322883606,-0.48372384905815125,0.14285714285714288,-0.3714285714285715,0.7079639299448678,0.7566604551422502,0.9356428304579131,4.0,2.0,a549+IFNG_JAK1,a549+IFNG,JAK1,False,True,0
a549+IFNG_JAK2,0.40031454,0.3548957,1.127978,0.8711349,-0.18543133,0.8160839281021666,-0.053604493406798806,0.9032761260842462,0.9150925887687509,0.9870871397828677,2136,2056,1.0251482725143433,0.9623963236808777,1.0652039051055908,0.4435778260231018,-0.14563623070716858,0.48260869565217385,-0.20434782608695648,0.6770928599780595,0.7078177493194213,0.9565920897421626,10.0,14.0,a549+IFNG_JAK2,a549+IFNG,JAK2,False,True,0
a549+IFNG_JUN,0.41338056,0.37731642,1.0955807,0.8602246,-0.12280041,0.7932099649888632,-0.026344009715910208,0.8935789577846025,0.9033296616461657,0.9892058190098683,2100,2018,0.41451239585876465,0.2758396863937378,1.5027294158935547,,,,,,,,0.0,1.0,a549+IFNG_JUN,a549+IFNG,JUN,False,True,0
a549+IFNG_KIN,0.40195224,0.36423218,1.1035604,0.86081785,0.043279495,0.7339133394383224,0.2094692611035294,0.8920673576844363,0.9002665736750499,0.9908924576004828,2544,1563,0.4324283301830292,0.7937827110290527,0.5447691679000854,0.3083108961582184,0.6553254127502441,0.2965955046209433,0.586923076923077,0.6546149856559926,0.6442292096081138,1.0161212436396614,16.0,9.0,a549+IFNG_KIN,a549+IFNG,KIN,False,True,0
a549+IFNG_KLF4,0.41466329,0.36993504,1.1209084,0.8488301,-0.15108272,0.7718279464269037,-0.08408730140746365,0.883317340739513,0.8962596901176965,0.9855595989411463,1972,2128,0.8052794337272644,0.7305130958557129,1.102347731590271,0.4496327042579651,0.13206112384796143,0.5470588235294118,0.16764705882352943,0.7569814484031232,0.6999108711980387,1.0815397782111837,10.0,6.0,a549+IFNG_KLF4,a549+IFNG,KLF4,False,False,0
a549+IFNG_MAFB,0.40035588,0.37292582,1.0735537,0.8666427,-0.007888575,0.7807150971884581,0.06042663620872949,0.8984269227355616,0.9055213436511996,0.9921653741622122,2242,1878,,,,,,,,,,,,,a549+IFNG_MAFB,a549+IFNG,MAFB,False,True,0
